game_id,season,week,gameday,team,off_epa,def_epa,plays,form_off_epa,form_def_epa,form_plays
2025_17_NO_TEN,2025,17,2025-12-28,NO,0.24544763631604535,-0.18078528304507244,51,-0.06414959813212937,-0.13436912028854375,68.0
2025_18_NO_ATL,2025,18,2026-01-04,NO,-0.11437933394057462,-0.24802168146832365,65,0.03990464632371342,-0.14808361175243295,62.6
2026_01_NO_DET,2026,1,2026-09-13,NO,-0.03067701875351575,0.00040982694171410976,86,0.04998060341729093,-0.17070709182498847,61.4
2016_01_NYG_DAL,2016,1,2016-09-11,NYG,0.09882093762711587,-0.005907105880386124,54,,,
2016_02_NO_NYG,2016,2,2016-09-18,NYG,-0.1183506752942888,-0.05236767670377421,71,,,
2016_03_WAS_NYG,2016,3,2016-09-25,NYG,0.07871473268936799,0.13964360760714786,61,,,
2016_04_NYG_MIN,2016,4,2016-10-03,NYG,-0.19956675112258554,0.02265716181973513,63,0.019728331674065017,0.027122941674329177,62.0
2016_05_NYG_GB,2016,5,2016-10-09,NYG,-0.1914845829433932,0.022182725133655344,54,-0.035095439025097624,0.026006496710680664,62.25
2016_06_BAL_NYG,2016,6,2016-10-16,NYG,0.04898937974525975,-0.030971369232122726,64,-0.06637326780875674,0.0252417423952756,60.6
2016_07_NYG_LA,2016,7,2016-10-23,NYG,-0.16510312463372762,-0.21393434053621263,55,-0.07633957938512796,0.02022888972492828,62.6
2016_09_PHI_NYG,2016,9,2016-11-06,NYG,-0.09468251071432289,-0.11633373783748538,59,-0.08569006925301573,-0.0120844430415594,59.4
2016_10_CIN_NYG,2016,10,2016-11-14,NYG,-0.06132060080583739,-0.1312373030244906,70,-0.1203695179337539,-0.06327991213048605,59.0
2016_11_CHI_NYG,2016,11,2016-11-20,NYG,0.1296699907818526,0.046902036570554,62,-0.09272028787040427,-0.0940588050993312,60.4
2016_12_NYG_CLE,2016,12,2016-11-27,NYG,0.03184290040495261,-0.34689342242276605,53,-0.02848937312535511,-0.08911494281195147,62.0
2016_13_NYG_PIT,2016,13,2016-12-04,NYG,-0.2868673854029988,0.027563013714914607,54,-0.03191866899341654,-0.15229935345008014,59.8
2016_14_DAL_NYG,2016,14,2016-12-11,NYG,-0.3348037733189377,-0.3698765729892935,62,-0.05627152114727076,-0.10399988259985468,59.6
